img1,img2,label,score
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\327\327_0.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\327\327_1.bmp,1,0.636538294
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\327\327_0.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\327\327_2.bmp,1,0.628589014
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\327\327_0.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\327\327_3.bmp,1,0.578183518
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\327\327_0.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\327\327_4.bmp,1,0.421540012
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\327\327_1.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\327\327_2.bmp,1,0.318940897
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\327\327_1.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\327\327_3.bmp,1,0.193546907
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\327\327_1.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\327\327_4.bmp,1,0.304270058
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\327\327_2.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\327\327_3.bmp,1,0.278232047
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\327\327_2.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\327\327_4.bmp,1,0.310654807
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\327\327_3.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\327\327_4.bmp,1,0.299788296
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\057\057_0.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\057\057_1.bmp,1,0.096273295
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\057\057_0.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\057\057_2.bmp,1,0.426373094
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\057\057_0.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\057\057_3.bmp,1,0.39419597
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\057\057_0.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\057\057_4.bmp,1,0.212868809
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\057\057_1.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\057\057_2.bmp,1,0.420637071
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\057\057_1.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\057\057_3.bmp,1,0.342996701
